,answer_count,articles_count,avatar_url,avatar_url_template,badge,follower_count,gender,headline,id,is_advertiser,is_followed,is_following,is_org,name,type,url,url_token,user_type
0,0,0,https://pic2.zhimg.com/v2-c30065c1225c664a9b3d89a73b6cfb79_is.jpg,https://pic2.zhimg.com/v2-c30065c1225c664a9b3d89a73b6cfb79_{size}.jpg,[],2,0,,98213f7ba936c4324fa9ee8e042bf2dc,False,False,False,False,吴小井,people,http://www.zhihu.com/api/v4/people/98213f7ba936c4324fa9ee8e042bf2dc,wu-xiao-jing-14,people
1,1,0,https://pic3.zhimg.com/v2-37f045a720573bada4f98e9d5dfd603e_is.jpg,https://pic3.zhimg.com/v2-37f045a720573bada4f98e9d5dfd603e_{size}.jpg,[],4,1,软件工程师,ee95a054b060bb9d3814fa025045377f,False,False,False,False,江南,people,http://www.zhihu.com/api/v4/people/ee95a054b060bb9d3814fa025045377f,jiang-nan-38-83,people
2,0,0,https://pic2.zhimg.com/v2-8657df2e607c381bce1160aff1e2cf31_is.jpg,https://pic2.zhimg.com/v2-8657df2e607c381bce1160aff1e2cf31_{size}.jpg,[],0,0,琴棋书画  ,013dcb2ffa865c78d30542efc5d56e5b,False,False,False,False,孙晓倩,people,http://www.zhihu.com/api/v4/people/013dcb2ffa865c78d30542efc5d56e5b,sun-xiao-qian-14-39,people
3,22,0,https://pic4.zhimg.com/v2-90d85c78f86d2d002247c8bd15e86fe7_is.jpg,https://pic4.zhimg.com/v2-90d85c78f86d2d002247c8bd15e86fe7_{size}.jpg,[],6,0,公众号 有丧气,9ce45071475f1606c0d14eb65976b600,False,False,False,False,有丧气,people,http://www.zhihu.com/api/v4/people/9ce45071475f1606c0d14eb65976b600,sang-qi-nsj,people
4,111,24,https://pic4.zhimg.com/v2-4cb96ae23e6274b450da2a1f0261dd87_is.jpg,https://pic4.zhimg.com/v2-4cb96ae23e6274b450da2a1f0261dd87_{size}.jpg,[],588,1,准律师，@周子恒律师 守护者,1cae3eb9840d67a9682400c61ad06442,False,False,False,False,宁启鱼CRH2A-2002,people,http://www.zhihu.com/api/v4/people/1cae3eb9840d67a9682400c61ad06442,jacub-kleider,people
5,0,0,https://pic4.zhimg.com/33a9dda4b9a45a142f5d38b763f33c17_is.jpg,https://pic4.zhimg.com/33a9dda4b9a45a142f5d38b763f33c17_{size}.jpg,[],1,0,生活不只是眼前的小姑娘，还有詩和远方的好吃哒,4286e479b6446086e787162b331a76fd,False,False,False,False,胡子萝卜,people,http://www.zhihu.com/api/v4/people/4286e479b6446086e787162b331a76fd,hu-ya-ting-71-82,people
6,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],2,-1,律师,b69be73574774918413a97e3057612a9,False,False,False,False,人这一辈子,people,http://www.zhihu.com/api/v4/people/b69be73574774918413a97e3057612a9,ren-zhe-yibei-zi-70,people
7,0,0,https://pic2.zhimg.com/ac23a3dc529ab22816a9b6312ea97349_is.jpg,https://pic2.zhimg.com/ac23a3dc529ab22816a9b6312ea97349_{size}.jpg,[],6,-1,律师,998e2216d0a255335b4217d232da2a7b,False,False,False,False,小木木,people,http://www.zhihu.com/api/v4/people/998e2216d0a255335b4217d232da2a7b,xiao-mu-mu-43-93,people
8,20,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],8,1,律师,a65c0f307007e86fbb4a440f256ab444,False,False,False,False,善良,people,http://www.zhihu.com/api/v4/people/a65c0f307007e86fbb4a440f256ab444,shan-liang-48-18,people
9,0,0,https://pic2.zhimg.com/v2-60133c787749d7da4ce05cf2bbc0c061_is.jpg,https://pic2.zhimg.com/v2-60133c787749d7da4ce05cf2bbc0c061_{size}.jpg,[],1,-1,,4d24cbbf245cedcf6b3ce05125de746f,False,False,False,False,尚威,people,http://www.zhihu.com/api/v4/people/4d24cbbf245cedcf6b3ce05125de746f,shang-wei-85-34,people
10,19,0,https://pic3.zhimg.com/v2-0bfa011f9c6301847f9daf09aad3cb52_is.jpg,https://pic3.zhimg.com/v2-0bfa011f9c6301847f9daf09aad3cb52_{size}.jpg,[],8,1,竭尽精诚，莫问收获，但行好事，不问得失,3a6572129f2cf0c0cb41a7b3e3039964,False,False,False,False,Jamin,people,http://www.zhihu.com/api/v4/people/3a6572129f2cf0c0cb41a7b3e3039964,jamin-xu,people
